248,202,pli,202 AREA1#202 AREA2,TELUK ITEBA#TELUK KAYUMERAH DAN TELUK LAKAHIA
249,203,pli,203#203R2#203R3#203R1,PAPUA-PANTAI BARAT DAYA
250,204,pli,204R1#204R2,TELUK KAMRAU#TELUK ARGUNI
251,205,pli,205,PAPUA-WEST COAST
252,206,pli,206,PAPUA-WEST COAST TELUK BERAU
253,206A,pli,206A,PAPUA-TELUK BINTUNI
254,206B,pli,206B,PAPUA-TELUK BERAU
255,206C,pli,206C,PAPUA-WEST PAPUA
256,206D,pli,206D#206D R1,PAPUA-TELUK BINTUNI
257,207,pli,207,PAPUA-PANTAI BARAT
258,208,pli,208R1#208R3#208R4#208R5#208R10#208R9#208R8#208R6#208R7#208R2,PAPUA-WEST COAST
259,209,pli,209R1#209R2#209,SUNGAI WASIAN#SUNGAI BATUBARA#PAPUA-PANTAI BARAT
260,210,pli,210,PAPUA-PANTAI BARAT
261,211,pli,211,LAUT SERAM
262,212,pli,212,PAPUA-PANTAI BARAT
263,213,pli,213,PAPUA-WEST COAST
264,214,pli,214,PAPUA-PANTAI UTARA
265,215,pli,215,PAPUA-PANTAI UTARA
266,216,pli,216,IRIAN JAYA (PAPUA)-PANTAI BARAT
267,217,pli,217#217R1,PAPUA-PANTAI UTARA
268,218,pli,218R14#218R1#218R3#218R4#218R5#218R6#218R7#218R8#218R9#218R10#218R12#218R13#218R2#218R11,SELAT SELE
269,219,pli,219,PAPUA-NORTH COAST
270,220,pli,220R1#220R2#220,PELABUHAN MANOKWARI#ALUR PELAYARAN MANOKWARI#PAPUA PANTAI UTARA
271,221,pli,221,PAPUA-PANTAI UTARA
272,222,pli,222R1#222R2#222,SAMABUSA NABIRE HARBOUR#WASIOR HARBOUR#PAPUA-NORTH COAST
273,223,pli,223,PAPUA-PANTAI UTARA
274,224,pli,224,PAPUA-PANTAI UTARA
275,225,pli,225R1#225R2#225R3#225R5#225R6#225R8#225R9#225R7#225R4,PANTAI SELATAN BIAK
276,226,pli,226R4#226R11#226R3#226R5#226R6#226R7#226R8#226R9#226R12#226R13#226R14#226R15#226R16#226R17#226R18#226R19#226R10#226R2#226R1,TELUK ORANSBARI#PELABUHAN SYERI#TELUK RAREWARAI#BAGIAN SELATAN
277,227,pli,227R3#227R2#227#227R1,JEMBATAN PERAHU#PELABUHAN SARMI#PAPUA-PANTAI UTARA
278,228,pli,228,IRIANJAYA (PAPUA)-PANTAI UTARA
279,229,pli,229R1#229R2#229R3#229R5#229R6#229R7#229R8#229R9#229R4,BUTON-PANTAI SELATAN
280,230,pli,230R1#230R2#230R3#230R4#230R5#230R7#230R8#230R9#230R6,PULAU-PULAU LINGGA
281,231,pli,231,SUMATERA-PANTAI BARAT
282,232,pli,232#232R1,SULAWESI-PANTAI TIMUR
283,233,pli,233R6#233R7#233R1#233R2#233R3#233R4#233R5,TANAH MERAH#MINDIPTANAH#DIGUL RIVER#DIGUL RIVER (ADVANCED 1)#DIGUL RIVER (ADVANCED 2)#KAOH RIVER#SUNGAI KAOH (ADVANCED)
284,234,pli,234,PULAU-PULAU ARU
285,235,pli,235R1#235,PELABUHAN YAMNA BESAR#PAPUA-PANTAI UTARA
286,236,pli,236R2#236R1,TELUK JAYAPURA
287,237,pli,237#237R1,PAPUA-PANTAI SELATAN
288,238,pli,238R1#238R3#238R4#238R5#238R2,PULAU-PULAU ARU
289,239,pli,239R1#239R4#239R5#239R2#239R3,SUNGAI MAMBERAMO AND SUNGAI MATABORI#TURNING NEAR PULAU SCHOLTEN#PULAU BETET#SUNGAI MAMBERAMO#PULAU SCHOLTEN TO PULAU BETET
290,240,pli,240R3#240R4#240R1#240R2,PELABUHAN SARA#PELABUHAN KAITERO#PANTAI BARAT IRIAN JAYA (PAPUA)
291,241,pli,241,SUMATERA-PANTAI BARAT
292,242,pli,242,SUMATERA-PANTAI BARAT
293,243,pli,243,SUMATERA-PANTAI BARAT
294,244,pli,244,PANTAI BARAT SUMATERA
295,245,pli,245,SUMATERA-PANTAI BARAT
296,246,pli,246,SUMATERA-PANTAI BARAT
297,247,pli,247,SUMATERA-PANTAI BARAT
298,248,pli,248R1#248R2,SELAT MULI#IRIANJAYA(PAPUA)-PANTAI SELATAN
299,249,pli,249R1#249,PELABUHAN TAPAKTUAN#SUMATERA-PANTAI BARAT
300,250,pli,250,SUMATERA-PANTAI BARAT
301,251,pli,251R1#251R3#251#251R2,PULAU-PULAU SALAUT#TELUK ACEH#SUMATERA-PANTAI BARAT
302,252,pli,252,PAPUA-PANTAI UTARA
303,253,pli,253,IRIAN JAYA (PAPUA) PANTAI UTARA
304,254,pli,254,KALIMANTAN-PANTAI TIMUR
305,254A,pli,254A R2#254A R1,KALIMANTAN-PANTAI TIMUR
306,255,pli,255R1#255R2#255 AREA2#255 AREA1#255R3,TANJUNGREDEP HARBOUR#TELUKBAYUR HARBOUR#KALIMANTAN PANTAI TIMUR
307,256,pli,256,KALIMANTAN-PANTAI TIMUR
308,257,pli,257#257R1,KALIMANTAN-PANTAI TIMUR
309,258,pli,258R1#258,PELABUHAN SARMI#PAPUA-PANTAI UTARA
310,259,pli,259R2#259R1#259#259R3,TARAKAN-SOUTH COAST
311,259A,pli,259A,INDONESIA. KALIMANTAN-EAST COAST TANJUNG SEPUNDI TO PULAU KERIS
312,260,pli,260R1#260R2,PELABUHAN BUNYU#ALUR PELAYARAN PELABUHAN BUNYU
313,261,pli,261R8#261R1#261R2#261R3#261R4#261R5#261R6#261R7,BALI NORTH COAST
314,262,pli,262R8#262R7#262R1#262R2#262R3#262R4#262R5#262R6#262R9,BALI-SOUTH EAST COAST
315,262A,pli,262A,BALI-PANTAI TENGGARA
316,262B,pli,262B,BALI-PANTAI TENGGARA
317,263,pli,263R1#263R2#263R3#263R4,ALUR MASUK UTARA SELAT ALAS#LOMBOK-PANTAI TIMUR
318,264,pli,264R1#264R3#264R2#264R4,TELUK SUMBAWA#TELUK SANGGAR (DOMPO)#PULAU MEDANG#TELUK BIMA
319,265,pli,265R1#265R2#265R3#265R4,TELUK LAMPUI
320,266,pli,266R1#266R2,TELUK SALEH BAGIAN BARAT#TELUK SALEH BAGIAN TIMUR
321,267,pli,267,NUSATENGGARA
322,268,pli,268R1#268R2#268R3#268R4,SUMBAWA-PANTAI TIMUR
323,269,pli,269R1#269R2#269R3#269R5#269R4,PULAU GELINTA#PULAU AIMERE#PELABUHAN IPI DAN PELABUHAN ENDE#TEMPAT-TEMPAT BERLABUH DEKAT LELA DAN SIKA BESAR#TELUK ENDE DAN TELUK IPI
